Johor ,Kedah,Kelantan,Melaka,Negeri  Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,Kuala Lumpur
5159,3683,4408,1631,2395,3593,3371,683,2080,3274,2302,10154,3374,3611"
5597,4462,4581,1749,2499,3809,3696,721,2263,3730,2471,11072,3631,3832"
5920,5189,4382,1925,2615,3894,4038,891,2392,4155,2639,11896,4320,3908"
5984,5506,4719,1850,2982,4256,4401,894,2490,4346,2669,12513,4325,4159"
6128,5655,4637,1822,2781,3908,4477,926,2276,4180,2676,12203,4441,3978"
